model,N,base,c3,rel
dirichlet_process,100000,7700.0,7815.0,1.014935064935065
geometric,1000000,1272.0,1705.0,1.3404088050314464
gmm_fixed_numclust,100000,6061.0,4331.0,0.7145685530440521
gmm_variable_numclust,100000,6261.0,4312.0,0.6887078741415109
hmm,100000,2227.0,573.411,0.25748136506511
hurricane,1000000,1340.0,1457.0,1.087313432835821
lda_fixed_numtopic,100000,9478.0,1163.0,0.12270521207005697
lda_variable_numtopic,100000,11303.0,1412.0,0.12492258692382553
linear_regression,100000,6546.0,29546.0,4.513596089214787
marsaglia,1000000,1968.0,3611.0,1.8348577235772359
pedestrian,1000000,3844.0,8369.0,2.177159209157128
pcfg,100000,871.718,1128.0,1.2939964529813541
urn,100000,581.448,836.827,1.4392121049517757
aircraft,10000,122.956,121.693,0.9897280327922183
bayesian_network,100000,395.951,478.106,1.2074877952069827
captcha,1000,4575.0,4361.0,0.953224043715847
dirichlet_process,100000,7689.0,7929.0,1.0312134217713618
geometric,1000000,1283.0,1713.0,1.3351519875292284
gmm_fixed_numclust,100000,6404.0,4659.0,0.7275140537164272
gmm_variable_numclust,100000,6305.0,4334.0,0.687390959555908
hmm,100000,2125.0,597.258,0.2810625882352941
hurricane,1000000,1337.0,1464.0,1.0949887808526553
lda_fixed_numtopic,100000,9511.0,1165.0,0.12248974871201766
lda_variable_numtopic,100000,11372.0,1460.0,0.1283855082659163
linear_regression,100000,6605.0,29591.0,4.480090840272521
marsaglia,1000000,1834.0,3329.0,1.8151581243184296
pedestrian,1000000,3836.0,8121.0,2.117049009384776
pcfg,100000,873.066,1129.0,1.293143931844786
urn,100000,550.704,762.18,1.3840102850169964
aircraft,10000,115.134,114.075,0.9908020219917661
bayesian_network,100000,390.033,477.706,1.224783543956537
captcha,1000,4561.0,4360.0,0.9559307169480377
dirichlet_process,100000,7758.0,7351.0,0.9475380252642434
geometric,1000000,1285.0,1704.0,1.3260700389105058
gmm_fixed_numclust,100000,6047.0,4340.0,0.7177112617827022
gmm_variable_numclust,100000,6242.0,4326.0,0.6930471002883691
hmm,100000,2218.0,561.218,0.25302885482416587
hurricane,1000000,1391.0,1520.0,1.0927390366642704
lda_fixed_numtopic,100000,9718.0,1217.0,0.12523152912121835
lda_variable_numtopic,100000,11390.0,1518.0,0.13327480245829676
linear_regression,100000,6861.0,30404.0,4.431423990671914
marsaglia,1000000,1829.0,3330.0,1.8206670311645707
pedestrian,1000000,3803.0,8071.999999999999,2.122534840915067
pcfg,100000,864.689,1127.0,1.3033587798618926
urn,100000,553.207,761.86,1.3771698478146517
