model,N,acceptancerate,base,combinator,rel
hmm,100000,0.7398,80.82517250000001,60.81391417,0.7524130452056875
hurricane,1000000,0.855208,3.700897708,7.106358834,1.9201716433930685
lda_fixed_numtopic,10000,0.8089,413.0678750000001,60.5821709,0.14666396146153943
lda_variable_numtopic,10000,0.7553,409.71060420000003,67.9209792,0.16577793814397934
linear_regression,100000,0.04252,66.46240250000001,151.40690209000002,2.278083493746709
marsaglia,500000,0.930612,5.695636,NA,NA
pedestrian,100000,0.37515,6.79573709,NA,NA
pcfg,100000,0.75314,16.70053375,NA,NA
urn,100000,0.54741,19.51208875,9.438425,0.4837219182902702
aircraft,100000,0.46989,16.555767499999998,11.701189580000001,0.7067742150884881
bayesian_network,100000,0.92019,36.011375,8.380014580000001,0.23270465457095155
captcha,1000,0.779,1017.89,349.387875,0.3432471828979556
dirichlet_process,10000,0.536,178.4437959,NA,NA
geometric,500000,0.597622,6.917999166,NA,NA
gmm_fixed_numclust,50000,0.6409,160.44729334,25.10372084,0.15646085588245676
gmm_variable_numclust,50000,0.59874,168.33737168,29.68220584,0.17632570559806665
hmm,100000,0.7398,79.72840083,63.88392957999999,0.8012694211215373
hurricane,1000000,0.855208,3.442920166,6.907635708,2.0063304912542663
lda_fixed_numtopic,10000,0.8089,395.78028750000004,59.60757920000001,0.15060775152931286
lda_variable_numtopic,10000,0.7553,404.0263959,65.39100420000001,0.16184834670105278
linear_regression,100000,0.04252,70.42192,153.53430708,2.180206206817423
marsaglia,500000,0.930612,5.8090265,NA,NA
pedestrian,100000,0.37515,6.61785834,NA,NA
pcfg,100000,0.75314,17.27143458,NA,NA
urn,100000,0.54741,19.75179042,9.46225375,0.4790580270849189
aircraft,100000,0.46989,16.314735,11.175398329999998,0.6849880387269544
bayesian_network,100000,0.92019,34.52615542,8.275561249999999,0.23968962513579506
captcha,1000,0.779,1007.0818330000001,349.860125,0.3473998969456139
dirichlet_process,10000,0.536,178.4461,NA,NA
geometric,500000,0.597622,7.026388666,NA,NA
gmm_fixed_numclust,50000,0.6409,159.74409,25.318484159999997,0.15849402729077489
gmm_variable_numclust,50000,0.59874,168.28646082,30.164927499999997,0.179247500678409
hmm,100000,0.7398,80.06978292,61.35462083000001,0.7662643583198065
hurricane,1000000,0.855208,3.640130833,7.058171042,1.9389882852598006
lda_fixed_numtopic,10000,0.8089,404.2621292,60.249366699999996,0.14903539646226152
lda_variable_numtopic,10000,0.7553,413.7663167,67.2778167,0.16259858278599215
linear_regression,100000,0.04252,69.10948,155.47678041999998,2.2497171215873712
marsaglia,500000,0.930612,5.613067916,NA,NA
pedestrian,100000,0.37515,6.571930419999999,NA,NA
pcfg,100000,0.75314,16.69365458,NA,NA
urn,100000,0.54741,20.54483125,10.32387458,0.502504715389181
aircraft,100000,0.46989,16.823079160000002,12.816565419999998,0.7618442080730242
bayesian_network,100000,0.92019,35.46102791,8.971802499999999,0.2530045807687925
captcha,1000,0.779,1127.386542,351.114792,0.31144135477891843
dirichlet_process,10000,0.536,180.86105830000002,NA,NA
geometric,500000,0.597622,7.130491334,NA,NA
gmm_fixed_numclust,50000,0.6409,159.009765,26.98224918,0.169689258895515
gmm_variable_numclust,50000,0.59874,167.01549918,32.3117725,0.19346571221618283
hmm,100000,0.7398,80.70969458,60.454505000000005,0.7490364734322849
hurricane,1000000,0.855208,3.63594275,6.956000792,1.9131216496739396
lda_fixed_numtopic,10000,0.8089,358.5966459,60.0044833,0.1673314125663438
lda_variable_numtopic,10000,0.7553,392.8155167,63.7146125,0.16219983628767892
linear_regression,100000,0.04252,72.10859667,149.97450666000003,2.079842259950613
marsaglia,500000,0.930612,5.650469168,NA,NA
pedestrian,100000,0.37515,6.72229667,NA,NA
pcfg,100000,0.75314,17.20527917,NA,NA
urn,100000,0.54741,19.48403875,9.49277958,0.4872080014724874
