model,N,L,none,time_none,graph,time_graph,rel_graph
bayesian_network,100,100,409.7255554199219,100.48697805404663,4.222023963928223,757.9020617008209,97.0448226928711
gmm_fixed_numclust,100,100,6039366144.0,373.3744089603424,472333.3125,3400.3550729751587,12786.23828125
hmm,100,100,3178.614501953125,176.67836093902588,2.429006576538086,1499.4403657913208,1308.6068115234375
lda_fixed_numtopic,100,100,71874.75,1010.7151801586151,1.1582132577896118,11639.286477088928,62056.578125
linear_regression,100,100,223361.0625,59.28953003883362,224720.765625,841.0996379852295,0.9939493536949158
hmm_unrolled,100,100,3178.614501953125,171.79045391082764,2.429006576538086,1470.9587261676788,1308.6068115234375
