model,N,L,none,time_none,graph,time_graph,rel_graph
bayesian_network,100.0,100.0,419.3284912109375,100.79618573188782,4.409789562225342,758.1566381454468,95.09036254882812
gmm_fixed_numclust,100.0,100.0,13618375680.0,393.08974385261536,1382745.5,3415.0744671821594,9848.7939453125
hmm,100.0,100.0,3148.572021484375,169.86380290985107,2.5103490352630615,1472.7263898849487,1254.2366943359375
hmm_unrolled,100.0,100.0,3148.572021484375,172.1736090183258,2.5103490352630615,1487.1775679588318,1254.2366943359375
lda_fixed_numtopic,100.0,100.0,73095.6640625,1060.4441080093384,1.2185330390930176,11666.858178138731,59986.609375
linear_regression,100.0,100.0,238652.875,58.42200970649719,238076.34375,840.4850332736969,1.0024216175079346
