model,N,none,static,rel_static
dirichlet_process,100,229140.5542,22403.6459,0.09777250464553514
gmm_fixed_numclust,100,185087.7,31525.945799999998,0.170329772318744
gmm_variable_numclust,100,169981.08750000002,30329.9458,0.17843129636407343
hmm,100,28075.591700000004,7126.425,0.2538299130486358
lda_fixed_numtopic,100,1.3508930875000001e6,393858.3625,0.29155405867749695
lda_variable_numtopic,100,1.3413655666e6,399221.725,0.2976233585687751
