model,n_particles,time
dirichlet_process,100.0,5.395197899999999
gmm_fixed_numclust,100.0,2.72796665
gmm_variable_numclust,100.0,2.8144917
hmm,100.0,1.0797604
lda_fixed_numtopic,100.0,8.860997900000001
lda_variable_numtopic,100.0,9.41549165
