model,n_data,n_particles,none,static,rel_static
dirichlet_process,50.0,100.0,238.32312495000002,22.3741771,0.0945771929162447
gmm_fixed_numclust,100.0,100.0,166.47977915,31.2601521,0.19011684481912616
gmm_variable_numclust,100.0,100.0,189.52881875,31.26273335,0.16794594848516436
hmm,50.0,100.0,31.950689599999997,7.3944229,0.24195726675888007
hmm_unrolled,50.0,100.0,49.64924165000001,7.4200104499999995,0.15085942693473775
lda_fixed_numtopic,262.0,100.0,1319.5529312499998,397.0739417,0.3006079242697725
lda_variable_numtopic,262.0,100.0,1412.18224375,410.7805104,0.29090660696805715
