model,N,acceptancerate,none,static,rel_static,finite,rel_finite,custom,rel_custom
lda_fixed_numtopic,10000,0.8071,220.4766167,25.794529199999996,0.11699439870804222,19.771137500000002,0.08967453236504605,5.9370917,0.026928441613735997
lda_variable_numtopic,10000,0.8261000000000001,208.03254579999998,23.9161875,0.11496368228360161,NA,NA,NA,NA
linear_regression,100000,0.53063,4.7447070799999995,8.47674416,1.7865684892817453,8.08875458,1.7047953527196458,NA,NA
marsaglia,500000,0.9307580000000001,1.67198625,2.1583065,1.2908637855125902,NA,NA,NA,NA
pedestrian,100000,0.37377999999999995,3.7713029199999997,3.8892429199999996,1.0312730116094733,NA,NA,NA,NA
pcfg,100000,0.75103,9.99078625,8.15563333,0.8163154656621745,NA,NA,NA,NA
urn,100000,0.52117,11.97374333,6.2881658300000005,0.5251629049242365,NA,NA,NA,NA
hmm_unrolled,100000,0.7401899999999999,34.68460916,2.70305209,0.07793232086112975,NA,NA,NA,NA
aircraft,100000,0.47291,5.77155125,4.42722,0.7670762691399475,NA,NA,NA,NA
bayesian_network,100000,0.9324399999999999,25.808650829999998,5.011362910000001,0.19417376533975142,3.41447,0.13229943798654586,NA,NA
captcha,1000,0.8149999999999997,754.997084,347.16799999999995,0.4598269415302801,NA,NA,NA,NA
dirichlet_process,10000,0.531,90.27144999999999,42.1122,0.4665062985030151,NA,NA,NA,NA
geometric,500000,0.617016,2.32473025,2.367451666,1.0183769347002731,NA,NA,NA,NA
gmm_fixed_numclust,50000,0.5976600000000001,74.38875584,7.533300819999999,0.10126934823594974,4.85760584,0.06530026998230812,3.8884708199999998,0.052272292715361
gmm_variable_numclust,50000,0.5735000000000001,79.1056225,10.488524159999999,0.13258885814342716,NA,NA,NA,NA
hmm,100000,0.7401899999999999,35.88084125,26.133260829999998,0.7283346744274006,2.63102916,0.07332685266959843,NA,NA
hurricane,1000000,0.855102,2.109686334,1.9141706670000003,0.9073247696356364,NA,NA,NA,NA
lda_fixed_numtopic,10000,0.8071,208.4847541,25.3397125,0.12154228067845083,18.8032,0.09018980827241219,5.8108375,0.027871762254677017
lda_variable_numtopic,10000,0.8261000000000001,203.85665830000002,24.2201958,0.1188099324396705,NA,NA,NA,NA
linear_regression,100000,0.53063,6.3141579199999995,11.54974041,1.8291814294692206,11.12229125,1.7614844910309118,NA,NA
marsaglia,500000,0.9307580000000001,1.725348416,2.22384425,1.2889247350721769,NA,NA,NA,NA
pedestrian,100000,0.37377999999999995,3.75570458,3.5246187499999997,0.9384707116660383,NA,NA,NA,NA
pcfg,100000,0.75103,10.433467089999999,8.372494999999999,0.8024652713981005,NA,NA,NA,NA
urn,100000,0.52117,11.84311542,6.47786167,0.5469727719667871,NA,NA,NA,NA
hmm_unrolled,100000,0.7401899999999999,36.58766417,2.7254050000000003,0.07448972384071165,NA,NA,NA,NA
aircraft,100000,0.47291,5.8665875,4.61151416,0.7860641573998512,NA,NA,NA,NA
bayesian_network,100000,0.9324399999999999,25.60048666,4.6878479099999995,0.18311557792862676,3.27592041,0.12796320841503878,NA,NA
captcha,1000,0.8149999999999997,821.620625,376.53691599999996,0.45828561813428187,NA,NA,NA,NA
dirichlet_process,10000,0.531,91.80345410000001,43.1528875,0.47005734068561583,NA,NA,NA,NA
geometric,500000,0.617016,2.375787,2.465948584,1.0379501967137625,NA,NA,NA,NA
gmm_fixed_numclust,50000,0.5976600000000001,71.23460584,7.1137,0.09986297974299284,4.60500834,0.06464566323765876,3.74730832,0.05260516676988186
gmm_variable_numclust,50000,0.5735000000000001,76.410375,9.967890839999999,0.13045206020779246,NA,NA,NA,NA
hmm,100000,0.7401899999999999,33.904695000000004,24.887938329999997,0.7340558093797923,2.6894774999999997,0.07932463335830038,NA,NA
hurricane,1000000,0.855102,2.13016475,1.981928417,0.930410860005077,NA,NA,NA,NA
lda_fixed_numtopic,10000,0.8071,208.4295333,24.4900542,0.11749800430033396,18.666562499999998,0.08955814564499627,5.8428875,0.02803291552541225
lda_variable_numtopic,10000,0.8261000000000001,220.63051670000002,25.659999999999997,0.11630304086578788,NA,NA,NA,NA
linear_regression,100000,0.53063,4.48862834,7.923762089999999,1.7652969882554368,7.52052459,1.6754616377973501,NA,NA
marsaglia,500000,0.9307580000000001,1.733585918,2.217539168,1.279163117890532,NA,NA,NA,NA
pedestrian,100000,0.37377999999999995,3.8776787499999994,3.7111549999999998,0.9570558159311161,NA,NA,NA,NA
pcfg,100000,0.75103,10.207905420000001,8.005704589999999,0.7842651612263859,NA,NA,NA,NA
urn,100000,0.52117,12.024051659999998,6.704070829999999,0.5575550587745894,NA,NA,NA,NA
hmm_unrolled,100000,0.7401899999999999,35.37577375000001,2.57945667,0.07291590816441151,NA,NA,NA,NA
aircraft,100000,0.47291,5.790407920000001,4.58381625,0.7916223370321723,NA,NA,NA,NA
bayesian_network,100000,0.9324399999999999,25.19702584,4.73993167,0.18811472830556894,3.3742833400000003,0.13391593759622863,NA,NA
captcha,1000,0.8149999999999997,797.922667,377.237583,0.4727746166408881,NA,NA,NA,NA
dirichlet_process,10000,0.531,93.4160625,44.5483958,0.47688154058088245,NA,NA,NA,NA
geometric,500000,0.617016,2.529626666,2.560575166,1.0122344140406054,NA,NA,NA,NA
gmm_fixed_numclust,50000,0.5976600000000001,71.03767834000001,6.810815,0.09587609222534171,4.52378918,0.06368154598674064,3.73702416,0.05260622598213138
gmm_variable_numclust,50000,0.5735000000000001,74.940975,9.4546375,0.12616112213645475,NA,NA,NA,NA
hmm,100000,0.7401899999999999,34.47840208,25.59311958,0.7422942490378892,2.65100125,0.07688875035011483,NA,NA
hurricane,1000000,0.855102,2.178982791,1.9409511250000002,0.8907601900376826,NA,NA,NA,NA
lda_fixed_numtopic,10000,0.8071,207.24885419999998,24.4801792,0.11811973240815149,18.0993709,0.08733158487107333,5.780987499999999,0.027893941910150256
lda_variable_numtopic,10000,0.8261000000000001,213.48865419999998,25.2939667,0.11847920815643981,NA,NA,NA,NA
linear_regression,100000,0.53063,4.44682291,8.01245417,1.801837926125104,7.468709999999999,1.6795609249930754,NA,NA
marsaglia,500000,0.9307580000000001,1.796097084,2.222884416,1.2376193000934685,NA,NA,NA,NA
pedestrian,100000,0.37377999999999995,3.97354125,3.9808575,1.0018412417387137,NA,NA,NA,NA
pcfg,100000,0.75103,10.2994575,8.65609083,0.8404414339298938,NA,NA,NA,NA
urn,100000,0.52117,12.016318749999998,6.373587499999999,0.5304109879741664,NA,NA,NA,NA
hmm_unrolled,100000,0.7401899999999999,36.15665666,2.69439834,0.07452011853133546,NA,NA,NA,NA
