model,N,L,none,time_none,static,time_static,rel_static
aircraft,1000.0,100.0,7921.695127223031,5.4016375624999995,79.68795911652361,10.209747083,99.28892359614858
bayesian_network,1000.0,100.0,415.99888176164166,6.4321938955,4.3707870437776695,12.476202791999999,95.05986695815831
geometric,1000.0,100.0,0.16337636455789173,0.7105898749999999,0.1725617014472369,0.37451860449999996,0.9390841380404154
gmm_fixed_numclust,1000.0,100.0,8043319185.030889,18.126640229000003,1014289.3960724083,41.010586771,8092.798557776217
hmm,1000.0,100.0,2116.0210543756557,7.283271229,1279.2316832938627,54.5255036045,1.6541390586084774
hmm_unrolled,1000.0,100.0,2116.0210543756557,7.202658041,2.3485562024818045,10.7971996255,901.0145761476118
hurricane,1000.0,100.0,0.33622279909902125,0.9750133329999999,0.3608826069734745,0.7890408959999999,0.9311465396115064
lda_fixed_numtopic,1000.0,100.0,72288.7689850231,50.935526604,1.1722746169041902,301.429645271,61646.022662078765
linear_regression,1000.0,100.0,334992.9002871413,1.3389612080000002,334069.42718592857,1.529948729,1.002754727115681
marsaglia,1000.0,100.0,0.07273568742553921,1.0365610415000002,0.0128272412468835,0.527513604,5.379685350090728
pcfg,1000.0,100.0,0.0088381599146969,1.312103167,0.0198880571511507,1.235725875,0.5568262286446479
pedestrian,1000.0,100.0,3107547.245850616,2.722514292,3110558.3194406303,5.4617437915,0.9962593065159102
