model,n_data,n_particles,none,static,rel_static
dirichlet_process,50, 100,239.0083041,22.5508959,0.0943519346949753
gmm_fixed_numclust,100, 100,168.808025,30.85685,0.18279255384926163
gmm_variable_numclust,100, 100,178.3423667,31.9621333,0.17921783753024514
hmm,50, 100,32.094049999999996,7.52285,0.23440014582142174
lda_fixed_numtopic,262, 100,1294.8254375,392.19356250000004,0.3028930009725732
lda_variable_numtopic,262, 100,1541.3056083000001,414.3808375,0.26885053507139695
hmm_unrolled,50, 100,54.455004200000005,7.4949791999999995,0.13763618808058048
dirichlet_process,50, 100,237.63794580000004,22.1157875,0.09306505080890158
gmm_fixed_numclust,100, 100,187.8016375,32.0351166,0.17057953821089553
gmm_variable_numclust,100, 100,171.829775,30.9142916,0.1799123091443261
hmm,50, 100,30.8867792,7.7066958,0.2495143876963384
lda_fixed_numtopic,262, 100,1274.6805416,391.9141125,0.30746065363801894
lda_variable_numtopic,262, 100,1425.4907958000001,409.5479375,0.287303109011067
hmm_unrolled,50, 100,51.203454199999996,7.651912499999999,0.14944133397937828
dirichlet_process,50, 100,232.4656042,22.0984875,0.09506132133417783
gmm_fixed_numclust,100, 100,179.08408749999998,34.2996166,0.19152799714826702
gmm_variable_numclust,100, 100,190.26255419999998,31.283791700000002,0.1644243231756215
hmm,50, 100,27.861245899999997,7.082708299999999,0.2542136243806671
lda_fixed_numtopic,262, 100,1320.9810667,394.0788334,0.29832284756697186
lda_variable_numtopic,262, 100,1401.2309292,414.65394169999996,0.29592120260772214
hmm_unrolled,50, 100,47.343650000000004,7.2365417,0.1528513686629569
dirichlet_process,50, 100,250.09412079999998,22.995625,0.09194788316671217
gmm_fixed_numclust,100, 100,186.4501083,31.342991599999994,0.16810390664707378
gmm_variable_numclust,100, 100,174.9858834,30.6911,0.17539186249580632
hmm,50, 100,35.7015916,7.4090457999999995,0.20752704481667983
lda_fixed_numtopic,262, 100,1286.0686208,410.1118667,0.31888801271341927
lda_variable_numtopic,262, 100,1420.0366833,411.5120458,0.2897897291242462
hmm_unrolled,50, 100,54.38980829999999,8.5767625,0.15769061829916398
dirichlet_process,50, 100,234.14435,22.1974583,0.09480245113751411
gmm_fixed_numclust,100, 100,164.1515333,31.28575,0.19059066565539048
gmm_variable_numclust,100, 100,185.7766583,31.743991700000002,0.170871798375975
hmm,50, 100,28.6578958,7.5227708,0.26250255261239386
lda_fixed_numtopic,262, 100,1408.4419125000002,398.9244167,0.2832381038646491
lda_variable_numtopic,262, 100,1385.7434833,402.9179167,0.29075938047386235
hmm_unrolled,50, 100,48.6377333,7.4064334,0.15227751989009733
dirichlet_process,50, 100,230.1436125,22.015912500000002,0.09566162736756383
gmm_fixed_numclust,100, 100,162.0827417,31.234554199999998,0.19270746454802842
gmm_variable_numclust,100, 100,191.753275,32.182787499999996,0.16783435641451233
hmm,50, 100,32.21475,7.3561041,0.22834583847461176
lda_fixed_numtopic,262, 100,1462.629625,402.4060375,0.2751250423359913
lda_variable_numtopic,262, 100,1436.6302791,418.13675000000006,0.291053833462252
hmm_unrolled,50, 100,49.454683300000006,7.556104199999999,0.15278844582146983
dirichlet_process,50, 100,252.13989170000002,22.985945799999996,0.0911634634449238
gmm_fixed_numclust,100, 100,162.7306375,31.1922417,0.1916802034281959
gmm_variable_numclust,100, 100,191.08842919999998,31.241675000000004,0.16349328491941995
hmm,50, 100,34.1801833,7.3798,0.21590873095171495
lda_fixed_numtopic,262, 100,1318.1247958,403.74857910000003,0.30630527578760536
lda_variable_numtopic,262, 100,1404.3278042,410.21881249999996,0.2921104397941393
hmm_unrolled,50, 100,50.45997920000001,7.264925,0.14397399910145028
dirichlet_process,50, 100,252.2192292,24.477,0.0970465260624149
gmm_fixed_numclust,100, 100,163.0644709,31.098629100000004,0.19071370316512035
gmm_variable_numclust,100, 100,191.8612958,32.2437375,0.16805754055581648
hmm,50, 100,31.807329199999998,7.1543958000000005,0.22492915878017197
lda_fixed_numtopic,262, 100,1392.9544875,410.8257458,0.29493120520924415
lda_variable_numtopic,262, 100,1378.3710292,411.3422083,0.29842633049153755
hmm_unrolled,50, 100,49.8438,7.34935,0.1474476263848262
dirichlet_process,50, 100,275.7989958,23.670425,0.08582491365256814
gmm_fixed_numclust,100, 100,187.9338958,34.9467833,0.18595252948510418
gmm_variable_numclust,100, 100,188.7950833,31.07135,0.16457711428123825
hmm,50, 100,41.4783458,11.220833400000002,0.2705226831876213
lda_fixed_numtopic,262, 100,1244.540775,395.22346669999996,0.3175657034619858
lda_variable_numtopic,262, 100,1305.0164167,404.0737,0.30963112404500065
hmm_unrolled,50, 100,48.0081584,7.4335875,0.1548400885962749
dirichlet_process,50, 100,229.99074579999998,22.0451625,0.09585238929209125
gmm_fixed_numclust,100, 100,163.05185,30.921645899999998,0.1896430239828619
gmm_variable_numclust,100, 100,191.1030458,31.2415833,0.16348030021821872
hmm,50, 100,28.0167666,7.2504084,0.2587881929244469
lda_fixed_numtopic,262, 100,1437.2326291,394.9270333,0.2747829580986515
lda_variable_numtopic,262, 100,1565.6663792000002,405.06487910000004,0.25871723662289653
hmm_unrolled,50, 100,48.8930417,7.2820666,0.14893871084318325
